capability_id,capability_name,source_section,implementing_document,implementing_module,work_package,match_score,coverage_state,action
PH-006,Material Identity,22. PHARMACEUTICAL MANUFACTURING PROFILE,Document 09,SPEC-EBMR-000,WP-02,2,NOT_COVERED,confirm during work-package scope review
PH-007,Component Weighing,22. PHARMACEUTICAL MANUFACTURING PROFILE,Document 17,SPEC-EBMR-008,WP-03,3,PARTIAL,confirm during work-package scope review
PH-008,Yield Calculation,22. PHARMACEUTICAL MANUFACTURING PROFILE,Document 17,SPEC-EBMR-008,WP-03,5,PARTIAL,confirm during work-package scope review
PH-009,Equipment Identification,22. PHARMACEUTICAL MANUFACTURING PROFILE,Document 04,SPEC-GXP-002,WP-01,1,NOT_COVERED,confirm during work-package scope review
PH-010,Production Sequence,22. PHARMACEUTICAL MANUFACTURING PROFILE,Document 12,SPEC-EBMR-003,WP-02,2,NOT_COVERED,confirm during work-package scope review
PH-011,In-Process Controls,22. PHARMACEUTICAL MANUFACTURING PROFILE,Document 57,SPEC-DDCP-004,WP-08,2,NOT_COVERED,confirm during work-package scope review
PH-012,Time Limit Control,22. PHARMACEUTICAL MANUFACTURING PROFILE,Document 40,SPEC-EQP-003,WP-06,3,PARTIAL,confirm during work-package scope review
PH-013,Microbial Controls,22. PHARMACEUTICAL MANUFACTURING PROFILE,Document 36,SPEC-QMS-011,WP-05,1,NOT_COVERED,confirm during work-package scope review
PH-014,Reprocessing,22. PHARMACEUTICAL MANUFACTURING PROFILE,Document 14,SPEC-EBMR-005,WP-03,2,NOT_COVERED,confirm during work-package scope review
PH-015,Packaging,22. PHARMACEUTICAL MANUFACTURING PROFILE,Document 14,SPEC-EBMR-005,WP-03,2,NOT_COVERED,confirm during work-package scope review
PH-016,Label Issuance,22. PHARMACEUTICAL MANUFACTURING PROFILE,Document 16,SPEC-EBMR-007,WP-03,3,PARTIAL,confirm during work-package scope review
PH-017,Label Reconciliation,22. PHARMACEUTICAL MANUFACTURING PROFILE,Document 16,SPEC-EBMR-007,WP-03,3,PARTIAL,confirm during work-package scope review
PH-018,Tamper Evidence,22. PHARMACEUTICAL MANUFACTURING PROFILE,Document 16,SPEC-EBMR-007,WP-03,4,PARTIAL,confirm during work-package scope review
PH-019,Warehousing,22. PHARMACEUTICAL MANUFACTURING PROFILE,Document 20,SPEC-MAT-002B,WP-04,3,PARTIAL,confirm during work-package scope review
PH-020,Distribution Traceability,22. PHARMACEUTICAL MANUFACTURING PROFILE,Document 13,SPEC-EBMR-004,WP-03,3,PARTIAL,confirm during work-package scope review
PH-021,Laboratory Controls,22. PHARMACEUTICAL MANUFACTURING PROFILE,Document 82,SPEC-VAL-004,WP-12,2,NOT_COVERED,confirm during work-package scope review
PH-022,Release Testing,22. PHARMACEUTICAL MANUFACTURING PROFILE,Document 12,SPEC-EBMR-003,WP-02,2,NOT_COVERED,confirm during work-package scope review
PH-023,Stability,22. PHARMACEUTICAL MANUFACTURING PROFILE,Document 09,SPEC-EBMR-000,WP-02,1,NOT_COVERED,confirm during work-package scope review
PH-024,Special Testing,22. PHARMACEUTICAL MANUFACTURING PROFILE,Document 68,SPEC-SEC-008,WP-10,3,PARTIAL,confirm during work-package scope review
PH-025,Reserve Samples,22. PHARMACEUTICAL MANUFACTURING PROFILE,Document 03,SPEC-GXP-001,WP-01,1,NOT_COVERED,confirm during work-package scope review
PH-026,Laboratory Record,22. PHARMACEUTICAL MANUFACTURING PROFILE,Document 23,SPEC-QC-001,WP-04,3,PARTIAL,confirm during work-package scope review
PH-027,Batch QA Review,22. PHARMACEUTICAL MANUFACTURING PROFILE,Document 11,SPEC-EBMR-002,WP-02,3,PARTIAL,confirm during work-package scope review
PH-028,Complaint,22. PHARMACEUTICAL MANUFACTURING PROFILE,Document 35,SPEC-QMS-010,WP-05,3,PARTIAL,confirm during work-package scope review
PH-029,Returned Drug,22. PHARMACEUTICAL MANUFACTURING PROFILE,Document 35,SPEC-QMS-010,WP-05,2,NOT_COVERED,confirm during work-package scope review
PH-030,Salvage / Destruction,22. PHARMACEUTICAL MANUFACTURING PROFILE,Document 03,SPEC-GXP-001,WP-01,2,NOT_COVERED,confirm during work-package scope review
SPEC-SEC-001,Security Architecture & Threat Model,43A. REQUIRED DOWNSTREAM DEDICATED SPECIFICATIONS,Document 61,SPEC-SEC-001,WP-10,4,PARTIAL,confirm during work-package scope review
